City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,Lompoc,34.6391,-120.4579,52.79,95,100,5.75,US,2022-11-08 03:03:46
64,Yellowknife,62.456,-114.3525,5.56,84,100,1.14,CA,2022-11-08 03:01:25
65,New Norfolk,-42.7826,147.0587,81.88,29,43,4.0,AU,2022-11-08 03:03:46
66,Rikitea,-23.1203,-134.9692,73.81,92,100,16.02,PF,2022-11-08 03:02:59
67,Qaqortoq,60.7167,-46.0333,24.33,81,100,6.51,GL,2022-11-08 03:03:46
68,Jumla,29.2747,82.1838,54.12,36,0,1.01,NP,2022-11-08 03:01:29
69,Saint-Marc,19.1082,-72.6938,77.86,75,4,2.04,HT,2022-11-08 03:03:47
70,East London,-33.0153,27.9116,67.46,85,100,13.15,ZA,2022-11-08 03:03:47
71,Durres,41.3231,19.4414,53.78,76,81,1.21,AL,2022-11-08 03:03:47
72,Butaritari,3.0707,172.7902,80.55,73,17,4.59,KI,2022-11-08 03:03:47
73,Sao Filipe,14.8961,-24.4956,77.47,67,100,5.08,CV,2022-11-08 03:03:48
74,Flinders,-34.5833,150.8552,74.05,62,50,10.76,AU,2022-11-08 03:03:48
75,Namibe,-15.1961,12.1522,67.6,76,0,6.91,AO,2022-11-08 03:03:48
76,Kargopol,61.5071,38.9456,35.64,93,100,9.4,RU,2022-11-08 03:03:48
77,Barrow,71.2906,-156.7887,26.62,80,100,24.16,US,2022-11-08 03:03:49
78,Jamestown,42.097,-79.2353,44.19,72,0,8.05,US,2022-11-08 03:03:49
79,Narsaq,60.9167,-46.05,30.42,74,100,7.31,GL,2022-11-08 03:03:49
80,San Quintin,30.4833,-115.95,63.7,87,1,9.28,MX,2022-11-08 03:03:49
81,Alamogordo,32.8995,-105.9603,66.0,30,20,8.05,US,2022-11-08 03:03:50
82,Bukachacha,52.9833,116.9167,26.53,75,100,4.7,RU,2022-11-08 03:03:50
83,Novoagansk,61.9449,76.6625,17.87,97,100,8.05,RU,2022-11-08 03:03:50
84,Lebu,-37.6167,-73.65,52.88,87,100,10.49,CL,2022-11-08 03:03:50
85,Chuy,-33.6971,-53.4616,57.72,86,11,7.87,UY,2022-11-08 03:03:51
86,Lavrentiya,65.5833,-171.0,27.84,96,100,22.21,RU,2022-11-08 03:03:51
87,Bluff,-46.6,168.3333,65.8,75,62,12.88,NZ,2022-11-08 03:03:51
88,Kayerkan,69.3497,87.7602,-9.83,100,96,4.18,RU,2022-11-08 03:03:51
89,Iqaluit,63.7506,-68.5145,16.7,67,100,3.0,CA,2022-11-08 03:03:52
90,Avarua,-21.2078,-159.775,75.25,69,100,8.05,CK,2022-11-08 03:04:52
91,Port Elizabeth,-33.918,25.5701,61.32,91,70,8.99,ZA,2022-11-08 03:04:52
92,Balabac,7.9868,117.0645,84.6,72,98,8.61,PH,2022-11-08 03:04:52
93,Coldwater,41.9403,-85.0005,42.89,65,0,6.91,US,2022-11-08 03:04:53
94,Dalbandin,28.8947,64.4101,66.4,39,30,3.11,PK,2022-11-08 03:04:53
95,Souillac,-20.5167,57.5167,73.83,75,71,9.89,MU,2022-11-08 03:04:53
96,Tasiilaq,65.6145,-37.6368,29.41,96,100,5.57,GL,2022-11-08 03:04:53
97,Nome,64.5011,-165.4064,33.87,100,100,31.07,US,2022-11-08 03:02:21
98,Port Alfred,-33.5906,26.891,63.18,88,100,4.0,ZA,2022-11-08 03:04:54
99,Anloga,5.7947,0.8973,80.65,80,29,4.21,GH,2022-11-08 03:04:54
100,Boa Vista,2.8197,-60.6733,76.3,88,100,6.62,BR,2022-11-08 03:00:22
101,Khatanga,71.9667,102.5,7.27,96,100,3.27,RU,2022-11-08 03:04:54
102,San Cristobal,7.7669,-72.225,66.38,95,100,2.37,VE,2022-11-08 03:04:54
103,Slavuta,50.3016,26.8651,43.52,94,37,5.55,UA,2022-11-08 03:04:55
104,Cap Malheureux,-19.9842,57.6142,73.47,75,58,3.0,MU,2022-11-08 03:01:17
105,Bredasdorp,-34.5322,20.0403,56.23,90,65,5.46,ZA,2022-11-08 03:04:55
106,Upernavik,72.7868,-56.1549,5.7,88,80,6.55,GL,2022-11-08 03:04:55
107,Vila,42.0304,-8.1588,50.88,89,92,9.17,PT,2022-11-08 03:04:55
108,Rawson,-43.3002,-65.1023,61.59,69,100,8.08,AR,2022-11-08 03:04:56
109,Arroyo,41.6096,-4.7969,55.44,86,20,12.66,ES,2022-11-08 03:04:56
110,Talcahuano,-36.7167,-73.1167,58.68,88,0,2.3,CL,2022-11-08 03:04:56
